latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,brightness_ir,frp,daynight,type,sensor,country,year,confidence_og_num,confidence_og_cat,confidence_num,confidence_cat,clc_class,clc_name
43.1262,-4.0911,316.0,1.1,1.0,2023-01-01,221,Aqua,MODIS,92,61.03,273.7,20.4,N,0,modis,Spain,2023,92.0,,92,h,3.0,Woody broadleaved deciduous trees
39.2047,-1.7606,304.4,1.0,1.0,2023-01-01,1326,Aqua,MODIS,59,61.03,286.6,6.2,D,0,modis,Spain,2023,59.0,,59,n,5.0,Low-growing woody plants
37.9941,-4.3265,303.5,1.1,1.0,2023-01-01,1326,Aqua,MODIS,53,61.03,286.8,7.1,D,0,modis,Spain,2023,53.0,,53,n,7.0,Periodically herbaceous
43.5401,-5.8281,307.3,1.0,1.0,2023-01-02,1105,Terra,MODIS,65,61.03,283.6,10.5,D,2,modis,Spain,2023,65.0,,65,n,5.0,Low-growing woody plants
42.3885,-2.7282,301.2,3.1,1.7,2023-01-03,1008,Terra,MODIS,45,61.03,279.5,40.0,D,0,modis,Spain,2023,45.0,,45,n,5.0,Low-growing woody plants
38.5923,-1.071,304.7,1.1,1.0,2023-01-03,1313,Aqua,MODIS,53,61.03,291.0,6.3,D,0,modis,Spain,2023,53.0,,53,n,5.0,Low-growing woody plants
38.7134,-0.7309,302.0,1.0,1.0,2023-01-03,1313,Aqua,MODIS,50,61.03,288.8,5.0,D,0,modis,Spain,2023,50.0,,50,n,5.0,Low-growing woody plants
38.5858,-1.0626,347.3,1.1,1.0,2023-01-03,1313,Aqua,MODIS,90,61.03,293.2,61.1,D,0,modis,Spain,2023,90.0,,90,h,7.0,Periodically herbaceous
38.2383,-1.3711,308.8,1.1,1.0,2023-01-03,1313,Aqua,MODIS,68,61.03,293.5,7.5,D,0,modis,Spain,2023,68.0,,68,n,4.0,Woody broadleaved evergreen trees
38.3722,-0.7094,303.8,1.1,1.0,2023-01-03,1313,Aqua,MODIS,57,61.03,290.6,5.2,D,0,modis,Spain,2023,57.0,,57,n,5.0,Low-growing woody plants
38.3239,-1.6799,318.5,1.1,1.1,2023-01-03,1313,Aqua,MODIS,79,61.03,292.3,19.2,D,0,modis,Spain,2023,79.0,,79,h,3.0,Woody broadleaved deciduous trees
38.5877,-1.0506,343.9,1.1,1.0,2023-01-03,1313,Aqua,MODIS,88,61.03,291.9,53.9,D,0,modis,Spain,2023,88.0,,88,h,5.0,Low-growing woody plants
41.5603,-1.3809,300.9,1.0,1.0,2023-01-03,1314,Aqua,MODIS,43,61.03,288.5,4.3,D,0,modis,Spain,2023,43.0,,43,n,7.0,Periodically herbaceous
42.381,-2.7365,301.6,1.1,1.0,2023-01-03,1314,Aqua,MODIS,48,61.03,284.3,7.2,D,0,modis,Spain,2023,48.0,,48,n,5.0,Low-growing woody plants
43.5378,-5.8313,308.2,1.4,1.2,2023-01-03,1314,Aqua,MODIS,67,61.03,284.7,16.7,D,2,modis,Spain,2023,67.0,,67,n,1.0,Sealed
41.6252,0.158,302.1,1.1,1.0,2023-01-04,1049,Terra,MODIS,38,61.03,277.7,7.6,D,0,modis,Spain,2023,38.0,,38,n,3.0,Woody broadleaved deciduous trees
39.5106,-0.6166,305.1,1.1,1.0,2023-01-04,1050,Terra,MODIS,60,61.03,285.8,8.9,D,0,modis,Spain,2023,60.0,,60,n,5.0,Low-growing woody plants
39.4659,-0.5772,305.0,1.1,1.0,2023-01-04,1050,Terra,MODIS,60,61.03,286.3,8.4,D,0,modis,Spain,2023,60.0,,60,n,5.0,Low-growing woody plants
42.3801,-1.6072,302.2,1.3,1.1,2023-01-05,1301,Aqua,MODIS,51,61.03,286.9,8.8,D,0,modis,Spain,2023,51.0,,51,n,5.0,Low-growing woody plants
43.1487,-1.811,309.1,1.3,1.1,2023-01-06,1033,Terra,MODIS,68,61.03,282.5,16.4,D,0,modis,Spain,2023,68.0,,68,n,3.0,Woody broadleaved deciduous trees
43.147,-1.7949,323.4,1.3,1.1,2023-01-06,1033,Terra,MODIS,82,61.03,282.4,33.6,D,0,modis,Spain,2023,82.0,,82,h,3.0,Woody broadleaved deciduous trees
38.7718,-1.753,302.1,1.4,1.2,2023-01-06,1342,Aqua,MODIS,51,61.03,285.4,8.6,D,0,modis,Spain,2023,51.0,,51,n,7.0,Periodically herbaceous
38.7668,-1.7467,302.2,1.4,1.2,2023-01-06,1342,Aqua,MODIS,51,61.03,285.5,8.6,D,0,modis,Spain,2023,51.0,,51,n,5.0,Low-growing woody plants
43.1684,-3.7094,302.4,1.3,1.1,2023-01-06,2139,Terra,MODIS,49,61.03,275.4,13.4,N,0,modis,Spain,2023,49.0,,49,n,6.0,Permanent herbaceous
38.0878,-1.4411,305.1,1.1,1.0,2023-01-10,1316,Aqua,MODIS,60,61.03,294.5,5.0,D,0,modis,Spain,2023,60.0,,60,n,6.0,Permanent herbaceous
