Comunidad Autónoma,Año,Presupuesto_Total_M€,Presupuesto_Ejecutado_M€,Prevención_M€,Extinción_M€,% Ejecución
Andalucía,2020,171,"133,4",82,89,"0,7801169591"
Andalucía,2021,175,"185,5",84,91,"1,06"
Andalucía,2022,175,154,84,91,"0,88"
Andalucía,2023,223,"196,2",110,113,"0,8798206278"
Andalucía,2024,243,"213,8",125,118,"0,8798353909"
Andalucía,2025,250,220,130,120,"0,88"
Aragón,2020,30,"23,4","11,5","18,5","0,78"
Aragón,2021,32,"28,2","12,2","19,8","0,88125"
Aragón,2022,"34,5","36,2",13,"21,5","1,049275362"
Aragón,2023,38,"33,4","14,5","23,5","0,8789473684"
Aragón,2024,"43,5","38,3","17,4","26,1","0,8804597701"
Aragón,2025,46,"40,5","18,4","27,6","0,8804347826"
Asturias,2020,60,"46,8",20,40,"0,78"
Asturias,2021,62,"54,6",21,41,"0,8806451613"
Asturias,2022,65,"57,2",22,43,"0,88"
Asturias,2023,68,"59,8",23,45,"0,8794117647"
Asturias,2024,71,"62,5",25,46,"0,8802816901"
Asturias,2025,95,"83,6",30,65,"0,88"
Canarias,2020,24,"18,7",8,16,"0,7791666667"
Canarias,2021,"25,5","22,4","8,5",17,"0,8784313725"
Canarias,2022,27,"23,8",9,18,"0,8814814815"
Canarias,2023,32,"35,2","10,5","21,5","1,1"
Canarias,2024,38,"33,4",13,25,"0,8789473684"
Canarias,2025,"40,5","35,6","14,5",26,"0,8790123457"
Cantabria,2020,6,"4,7",2,4,"0,7833333333"
Cantabria,2021,"7,7","6,8","2,5","5,2","0,8831168831"
Cantabria,2022,6,"5,3",2,4,"0,8833333333"
Cantabria,2023,"6,1","5,4",2,"4,1","0,8852459016"
Cantabria,2024,7,"6,2","2,5","4,5","0,8857142857"
Cantabria,2025,8,7,3,5,"0,875"
Castilla y León,2020,65,"50,7",25,40,"0,78"
Castilla y León,2021,68,"59,8",26,42,"0,8794117647"
Castilla y León,2022,75,"85,5",28,47,"1,14"
Castilla y León,2023,143,"125,8",60,83,"0,8797202797"
Castilla y León,2024,155,"136,4",65,90,"0,88"
Castilla y León,2025,165,"145,2",70,95,"0,88"
Castilla-La Mancha,2020,83,"64,7",38,45,"0,7795180723"
Castilla-La Mancha,2021,87,"76,6",40,47,"0,8804597701"
Castilla-La Mancha,2022,90,"79,2",42,48,"0,88"
Castilla-La Mancha,2023,112,"98,6",52,60,"0,8803571429"
Castilla-La Mancha,2024,115,"101,2",54,61,"0,88"
Castilla-La Mancha,2025,120,"105,6",56,64,"0,88"
Cataluña,2020,65,"50,7",24,41,"0,78"
Cataluña,2021,"68,5","60,3","25,5",43,"0,8802919708"
Cataluña,2022,74,"65,1",28,46,"0,8797297297"
Cataluña,2023,88,"89,8",34,54,"1,020454545"
Cataluña,2024,96,"84,5",38,58,"0,8802083333"
Cataluña,2025,105,"92,4",42,63,"0,88"
