latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
43.12081,-4.09294,316.96,0.57,0.52,2023-01-01,0134,N,VIIRS,n,2,254.19,2.46,N,0
41.19305,-4.43897,305.15,0.57,0.52,2023-01-01,0135,N,VIIRS,n,2,277.03,2.27,N,0
39.71268,2.61262,295.96,0.41,0.37,2023-01-01,0135,N,VIIRS,n,2,280.38,0.42,N,0
43.43084,-4.96905,321.67,0.41,0.61,2023-01-01,0315,N,VIIRS,n,2,270.78,3.04,N,0
43.4353,-4.96326,337.5,0.41,0.61,2023-01-01,0315,N,VIIRS,n,2,270.66,3.04,N,0
43.43304,-4.96545,339.4,0.41,0.61,2023-01-01,0315,N,VIIRS,n,2,271.03,4.9,N,0
28.61705,-17.86952,301.68,0.4,0.44,2023-01-01,0319,N,VIIRS,n,2,289.83,1.06,N,0
37.65676,-0.94219,335.72,0.39,0.36,2023-01-01,1257,N,VIIRS,n,2,289.38,2.65,D,0
43.33007,-5.77365,295.13,0.46,0.47,2023-01-02,0256,N,VIIRS,n,2,279.83,0.86,N,2
41.31306,1.6613,304.5,0.58,0.7,2023-01-02,0256,N,VIIRS,n,2,278.95,1.93,N,2
43.53969,-5.83087,296.68,0.45,0.47,2023-01-02,0256,N,VIIRS,n,2,280.53,0.82,N,2
28.61631,-17.87183,300,0.39,0.36,2023-01-02,0301,N,VIIRS,n,2,289.72,1.6,N,0
37.69673,-1.27883,326.66,0.39,0.44,2023-01-02,1238,N,VIIRS,n,2,290.78,1.03,D,0
40.03563,-0.01426,333.9,0.47,0.4,2023-01-02,1239,N,VIIRS,n,2,273.18,4.37,D,0
40.7921,0.65834,327.96,0.44,0.38,2023-01-02,1239,N,VIIRS,n,2,268.23,1.86,D,0
40.03691,-0.01202,334.71,0.47,0.4,2023-01-02,1239,N,VIIRS,n,2,275.5,4.33,D,0
43.5385,-5.82925,343.85,0.48,0.48,2023-01-02,1240,N,VIIRS,n,2,286.74,8.51,D,2
43.52623,-5.72966,302.97,0.44,0.39,2023-01-03,0237,N,VIIRS,n,2,279.2,1.26,N,2
43.5433,-5.83807,295.42,0.44,0.38,2023-01-03,0237,N,VIIRS,n,2,276.58,0.48,N,2
38.37452,-0.5447,297.74,0.32,0.55,2023-01-03,0238,N,VIIRS,n,2,279.69,0.51,N,2
38.32145,-1.68194,343.05,0.35,0.56,2023-01-03,1220,N,VIIRS,n,2,288.74,3.05,D,0
38.32849,-1.67617,343.23,0.35,0.56,2023-01-03,1220,N,VIIRS,n,2,289.72,3.68,D,0
38.32745,-1.68021,335.32,0.35,0.56,2023-01-03,1220,N,VIIRS,n,2,288.35,3.68,D,0
40.03619,-0.01166,353.38,0.52,0.5,2023-01-03,1220,N,VIIRS,n,2,289.59,9.38,D,0
41.66999,0.89807,326.91,0.43,0.46,2023-01-03,1220,N,VIIRS,n,2,284.3,1.33,D,0
41.22898,-1.64622,328.88,0.58,0.52,2023-01-03,1220,N,VIIRS,n,2,283.71,5.28,D,0
42.3888,-2.73712,338.95,0.61,0.54,2023-01-03,1221,N,VIIRS,n,2,283.91,8.39,D,0
41.562,-1.37129,338.24,0.55,0.51,2023-01-03,1221,N,VIIRS,n,2,288.64,6.03,D,0
41.5629,-1.37149,338.72,0.55,0.51,2023-01-03,1221,N,VIIRS,n,2,288.67,4.25,D,0
42.38409,-2.73483,343.54,0.61,0.54,2023-01-03,1221,N,VIIRS,n,2,284.6,8.39,D,0
37.76223,-1.27254,335.6,0.52,0.67,2023-01-03,1400,N,VIIRS,n,2,287.97,5.37,D,0
43.44005,-3.84327,295.21,0.39,0.36,2023-01-04,0218,N,VIIRS,n,2,278.1,0.41,N,2
43.03486,-2.22176,314.6,0.41,0.37,2023-01-04,0218,N,VIIRS,n,2,274.29,1.51,N,2
43.03557,-2.21757,309.71,0.42,0.37,2023-01-04,0218,N,VIIRS,n,2,274.23,0.8,N,2
43.54214,-5.83263,296.51,0.39,0.36,2023-01-04,0218,N,VIIRS,n,2,274.56,0.77,N,2
