latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
38.48499,-1.37426,313.17,0.48,0.4,2024-01-01,0141,N20,VIIRS,n,2,267.87,1.74,N,0
37.43216,-1.91282,326.16,0.39,0.36,2024-01-01,1302,N20,VIIRS,n,2,292.64,1.22,D,0
39.93797,-3.54054,344.04,0.4,0.37,2024-01-01,1303,N20,VIIRS,n,2,286.92,3.29,D,0
40.24403,-3.47542,326.46,0.39,0.36,2024-01-01,1303,N20,VIIRS,n,2,285.56,1.89,D,2
39.64626,-3.79404,338.58,0.4,0.37,2024-01-01,1303,N20,VIIRS,n,2,286.86,2.49,D,0
43.52546,-5.73189,327.12,0.41,0.37,2024-01-01,1304,N20,VIIRS,n,2,272.04,4.06,D,2
41.31429,1.66045,304.5,0.41,0.45,2024-01-02,0121,N20,VIIRS,n,2,272.46,1.29,N,2
38.87567,-0.4751,317.69,0.49,0.48,2024-01-02,0122,N20,VIIRS,n,2,271.54,1.15,N,0
38.8712,-0.47568,303.42,0.49,0.48,2024-01-02,0122,N20,VIIRS,n,2,271.68,1.15,N,0
41.31264,1.65995,301.55,0.72,0.75,2024-01-02,0301,N20,VIIRS,n,2,273.74,1.72,N,2
28.61591,-17.86937,302.14,0.43,0.38,2024-01-02,0306,N20,VIIRS,n,2,292.05,2.15,N,2
37.06439,-5.63361,338.22,0.57,0.52,2024-01-02,1244,N20,VIIRS,n,2,291.34,6.78,D,0
39.59016,-1.85238,330.22,0.49,0.4,2024-01-02,1244,N20,VIIRS,n,2,283.84,3.6,D,0
39.59172,-1.85132,325.86,0.49,0.41,2024-01-02,1244,N20,VIIRS,n,2,283.89,3.21,D,0
38.8173,-3.25067,339,0.39,0.44,2024-01-02,1244,N20,VIIRS,n,2,288.76,3.66,D,0
37.85038,-4.78777,327.69,0.49,0.49,2024-01-02,1244,N20,VIIRS,n,2,284.3,3.11,D,0
37.06282,-5.63718,329.42,0.67,0.74,2024-01-02,1424,N20,VIIRS,n,2,287.68,5.92,D,0
41.31182,1.65864,307.52,0.42,0.61,2024-01-03,0243,N20,VIIRS,n,2,275.09,1.52,N,2
43.54495,-5.84767,300.15,0.5,0.41,2024-01-03,0243,N20,VIIRS,n,2,276.55,1.18,N,2
39.85495,-0.13064,328.57,0.45,0.47,2024-01-03,1225,N20,VIIRS,n,2,290.88,2.59,D,0
43.22562,-2.87699,296.23,0.44,0.38,2024-01-04,0224,N20,VIIRS,n,2,278.33,0.77,N,2
40.24363,-3.47698,295.75,0.46,0.39,2024-01-04,0224,N20,VIIRS,n,2,274.43,1.27,N,2
41.45742,1.97667,295.55,0.51,0.49,2024-01-04,0224,N20,VIIRS,n,2,277.25,0.94,N,0
36.17989,-5.42156,299.12,0.45,0.39,2024-01-04,0226,N20,VIIRS,n,2,285.87,1.1,N,0
41.13033,1.02475,326.08,0.63,0.54,2024-01-04,1207,N20,VIIRS,n,2,286.19,4.8,D,0
41.13171,1.02396,325.55,0.63,0.54,2024-01-04,1207,N20,VIIRS,n,2,286.65,3.95,D,0
43.54305,-5.83043,301.11,0.46,0.39,2024-01-05,0205,N20,VIIRS,n,2,277.01,1.15,N,2
43.52752,-5.7304,298.79,0.45,0.39,2024-01-05,0205,N20,VIIRS,n,2,277.47,0.92,N,2
43.52575,-5.73238,296.85,0.45,0.39,2024-01-05,0205,N20,VIIRS,n,2,277.27,1.08,N,2
43.53947,-5.83128,309.08,0.46,0.39,2024-01-05,0205,N20,VIIRS,n,2,278.22,1.15,N,2
36.18074,-5.42001,297.43,0.39,0.36,2024-01-05,0207,N20,VIIRS,n,2,284.52,0.48,N,0
36.1842,-5.39684,299.18,0.39,0.36,2024-01-05,0207,N20,VIIRS,n,2,288.61,0.95,N,0
41.31286,1.65991,314.14,0.39,0.36,2024-01-06,0146,N20,VIIRS,n,2,277.12,1.74,N,2
41.4549,1.98013,299.66,0.38,0.36,2024-01-06,0146,N20,VIIRS,n,2,272.28,0.59,N,2
40.24636,-3.47573,317.16,0.52,0.42,2024-01-06,0147,N20,VIIRS,n,2,276.97,2.98,N,2
40.96182,-6.48573,295.08,0.5,0.49,2024-01-06,0147,N20,VIIRS,n,2,272.59,0.63,N,0
40.24494,-3.47501,315.74,0.52,0.42,2024-01-06,0147,N20,VIIRS,n,2,278.2,2.78,N,2
36.9666,-1.90776,308.44,0.42,0.38,2024-01-06,0148,N20,VIIRS,n,2,279.3,0.98,N,2
43.529,-5.73276,298.03,0.54,0.68,2024-01-06,0326,N20,VIIRS,n,2,276.82,1.69,N,2
43.52696,-5.72641,311.21,0.54,0.68,2024-01-06,0326,N20,VIIRS,n,2,276.87,1.69,N,2
38.66258,-4.04671,335.1,0.39,0.36,2024-01-06,1309,N20,VIIRS,n,2,286.79,7.67,D,0
38.66586,-4.04757,340.92,0.39,0.36,2024-01-06,1309,N20,VIIRS,n,2,283.71,7.67,D,2
41.31365,1.6593,310.89,0.52,0.41,2024-01-07,0127,N20,VIIRS,n,2,278.72,1.27,N,2
41.45515,1.98059,306.89,0.5,0.41,2024-01-07,0127,N20,VIIRS,n,2,280.51,1.25,N,2
43.46236,-5.06137,297.22,0.39,0.59,2024-01-07,0127,N20,VIIRS,n,2,277.26,0.65,N,0
41.45493,1.98,304.63,0.5,0.41,2024-01-07,0127,N20,VIIRS,n,2,280.35,1.58,N,2
